accidentid,date,year,time,junction,severity,primaryvehicletype,probablecause,weathercondition,injuredcount,fatalitycount,vehiclesinvolved,policecaseregistered,data_source,is_simulated
NGP-01356,2024-10-18,2024,04:46,Kamptee Chowk,Moderate,Car,Signal Jumping,Hot/Humid,1,0,3,Yes,SIMULATED,True
NGP-01358,2024-10-18,2024,15:47,Pardi Chowk,Minor,Truck,Lane Violation,Hot/Humid,0,0,4,Yes,SIMULATED,True
NGP-01357,2024-10-18,2024,21:12,Manish Nagar-Besa Junction,Minor,Truck,Wrong-side Driving,Hot/Humid,0,0,3,Yes,SIMULATED,True
NGP-01359,2024-10-19,2024,09:38,LIC Chowk,Minor,Bicycle,Wrong-side Driving,Rainy,1,0,1,Yes,SIMULATED,True
NGP-01360,2024-10-20,2024,06:51,Bardi Chowk,Fatal,Motorcycle,Poor Visibility (Fog/Rain),Clear,3,2,3,Yes,SIMULATED,True
NGP-01361,2024-10-23,2024,11:03,Bardi Chowk,Severe,Bicycle,Pedestrian Crossing Violation,Rainy,3,0,3,Yes,SIMULATED,True
NGP-01362,2024-10-29,2024,21:40,Sitabuldi Chowk,Fatal,Car,Lane Violation,Clear,4,2,3,Yes,SIMULATED,True
NGP-01363,2024-10-31,2024,15:46,Kamptee Chowk,Severe,Truck,Overspeeding,Overcast,4,0,4,Yes,SIMULATED,True
NGP-01364,2024-11-01,2024,17:39,LAD Square,Moderate,Motorcycle,Brake Failure,Clear,1,0,1,Yes,SIMULATED,True
NGP-01365,2024-11-02,2024,03:45,Laxmi Nagar Square,Moderate,Truck,Signal Jumping,Clear,3,0,1,No,SIMULATED,True
NGP-01367,2024-11-05,2024,07:31,Vaishnodevi Chowk,Moderate,Motorcycle,Pedestrian Crossing Violation,Rainy,1,0,2,Yes,SIMULATED,True
NGP-01366,2024-11-05,2024,17:56,Sitabuldi Chowk,Severe,Car,Distracted Driving,Clear,5,0,4,Yes,SIMULATED,True
NGP-01368,2024-11-06,2024,08:14,Chhatrapati Square,Minor,Car,Pedestrian Crossing Violation,Clear,0,0,2,Yes,SIMULATED,True
NGP-01369,2024-11-07,2024,14:46,Dighori Chowk,Moderate,Bicycle,Pothole/Road Defect,Clear,3,0,3,No,SIMULATED,True
NGP-01370,2024-11-09,2024,00:34,Bardi Chowk,Minor,Auto-Rickshaw,Poor Visibility (Fog/Rain),Rainy,0,0,1,No,SIMULATED,True
NGP-01371,2024-11-09,2024,09:57,Variety Square,Minor,Pedestrian-involved,Lane Violation,Overcast,0,0,2,Yes,SIMULATED,True
NGP-01374,2024-11-11,2024,11:06,Kachipura Square,Moderate,Car,Overspeeding,Clear,2,0,1,Yes,SIMULATED,True
NGP-01375,2024-11-11,2024,12:54,Kasturchand Park Square,Minor,Bicycle,Distracted Driving,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01372,2024-11-11,2024,12:55,Dighori Chowk,Minor,Bus,Poor Visibility (Fog/Rain),Overcast,1,0,4,Yes,SIMULATED,True
NGP-01373,2024-11-11,2024,15:21,Gaddi Godam Chowk,Minor,Car,Distracted Driving,Clear,1,0,2,Yes,SIMULATED,True
NGP-01376,2024-11-11,2024,17:02,Sakkardara Square,Minor,Car,Pothole/Road Defect,Clear,1,0,3,Yes,SIMULATED,True
NGP-01377,2024-11-12,2024,16:32,Kachipura Square,Severe,Pedestrian-involved,Lane Violation,Clear,4,0,2,Yes,SIMULATED,True
NGP-01378,2024-11-12,2024,19:44,Medical Chowk,Moderate,Bus,Distracted Driving,Hot/Humid,2,0,4,Yes,SIMULATED,True
NGP-01380,2024-11-13,2024,06:46,Katol Road Chowk,Minor,Car,Poor Visibility (Fog/Rain),Rainy,0,0,1,Yes,SIMULATED,True
NGP-01379,2024-11-13,2024,17:38,Automotive Square,Minor,Motorcycle,Overspeeding,Rainy,0,0,2,No,SIMULATED,True
NGP-01382,2024-11-15,2024,13:02,Manewada Chowk,Severe,Pedestrian-involved,Brake Failure,Clear,3,0,2,No,SIMULATED,True
NGP-01381,2024-11-15,2024,19:31,Bardi Chowk,Minor,Bus,Distracted Driving,Clear,0,0,1,No,SIMULATED,True
NGP-01385,2024-11-16,2024,15:25,Mental Hospital Chowk,Minor,Bicycle,Pothole/Road Defect,Clear,1,0,4,No,SIMULATED,True
NGP-01383,2024-11-16,2024,18:22,Manakpur Chowk,Moderate,Car,Overspeeding,Clear,1,0,2,No,SIMULATED,True
NGP-01384,2024-11-16,2024,20:48,Medical Chowk,Minor,Car,Lane Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-01386,2024-11-17,2024,12:26,Kachipura Square,Moderate,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,2,0,1,Yes,SIMULATED,True
NGP-01387,2024-11-19,2024,15:08,Ajit Bakery Square,Severe,Bicycle,Drunk Driving,Clear,5,0,1,No,SIMULATED,True
NGP-01389,2024-11-20,2024,12:19,Kamptee Chowk,Minor,Motorcycle,Overspeeding,Clear,1,0,1,Yes,SIMULATED,True
NGP-01388,2024-11-20,2024,23:00,Cotton Market Chowk,Moderate,Motorcycle,Poor Visibility (Fog/Rain),Clear,2,0,2,Yes,SIMULATED,True
NGP-01390,2024-11-22,2024,15:36,Airport T-Point,Severe,Bicycle,Drunk Driving,Clear,3,0,3,Yes,SIMULATED,True
NGP-01391,2024-11-22,2024,20:09,Chhatrapati Square,Moderate,Motorcycle,Distracted Driving,Overcast,3,0,2,No,SIMULATED,True
NGP-01392,2024-11-23,2024,11:28,LAD Square,Severe,Car,Lane Violation,Rainy,4,0,4,Yes,SIMULATED,True
NGP-01393,2024-11-23,2024,17:40,Sitabuldi Chowk,Moderate,Auto-Rickshaw,Pothole/Road Defect,Foggy,2,0,4,Yes,SIMULATED,True
NGP-01394,2024-11-26,2024,15:09,Manish Nagar-Besa Junction,Minor,Car,Brake Failure,Clear,0,0,4,Yes,SIMULATED,True
NGP-01395,2024-12-03,2024,17:51,Kasturchand Park Square,Minor,Motorcycle,Poor Visibility (Fog/Rain),Clear,1,0,2,Yes,SIMULATED,True
NGP-01396,2024-12-03,2024,20:33,Mate Chowk,Minor,Auto-Rickshaw,Drunk Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01397,2024-12-04,2024,14:59,Laxmi Nagar Square,Moderate,Motorcycle,Brake Failure,Overcast,1,0,3,Yes,SIMULATED,True
NGP-01398,2024-12-10,2024,15:00,Automotive Square,Minor,Truck,Signal Jumping,Foggy,0,0,4,Yes,SIMULATED,True
NGP-01399,2024-12-11,2024,08:49,Automotive Square,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Rainy,0,0,2,Yes,SIMULATED,True
NGP-01400,2024-12-13,2024,22:14,Abhyankar Nagar Square,Minor,Truck,Pedestrian Crossing Violation,Rainy,0,0,1,Yes,SIMULATED,True
NGP-01402,2024-12-16,2024,10:14,Gaddi Godam Chowk,Severe,Bus,Brake Failure,Foggy,5,0,2,Yes,SIMULATED,True
NGP-01403,2024-12-16,2024,10:41,Indora Chowk,Fatal,Auto-Rickshaw,Brake Failure,Clear,4,2,1,Yes,SIMULATED,True
NGP-01401,2024-12-16,2024,21:40,Ajni Chowk,Minor,Motorcycle,Poor Visibility (Fog/Rain),Clear,1,0,3,Yes,SIMULATED,True
NGP-01404,2024-12-17,2024,14:05,Chhatrapati Square,Minor,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,0,0,4,Yes,SIMULATED,True
NGP-01406,2024-12-18,2024,06:19,RBI Chowk,Moderate,Motorcycle,Brake Failure,Rainy,2,0,1,Yes,SIMULATED,True
NGP-01405,2024-12-18,2024,08:49,Cotton Market Chowk,Severe,Car,Poor Visibility (Fog/Rain),Rainy,3,0,1,Yes,SIMULATED,True
NGP-01407,2024-12-19,2024,17:50,Manish Nagar-Besa Junction,Minor,Pedestrian-involved,Distracted Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-01408,2024-12-21,2024,16:37,Manewada Chowk,Minor,Auto-Rickshaw,Pothole/Road Defect,Rainy,0,0,1,Yes,SIMULATED,True
NGP-01410,2024-12-22,2024,19:29,Pratap Nagar Chowk,Minor,Motorcycle,Overspeeding,Overcast,1,0,1,Yes,SIMULATED,True
NGP-01409,2024-12-22,2024,21:11,Mental Hospital Chowk,Minor,Motorcycle,Pedestrian Crossing Violation,Clear,1,0,4,Yes,SIMULATED,True
NGP-01411,2024-12-23,2024,08:30,Hingna Chowk,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,0,0,2,No,SIMULATED,True
NGP-01412,2024-12-25,2024,15:31,Manakpur Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,2,Yes,SIMULATED,True
NGP-01413,2024-12-30,2024,08:37,Golibar Chowk,Minor,Motorcycle,Signal Jumping,Clear,1,0,4,No,SIMULATED,True
NGP-01414,2024-12-30,2024,19:59,Vaishnodevi Chowk,Minor,Bus,Pothole/Road Defect,Clear,1,0,3,No,SIMULATED,True
NGP-01415,2024-12-31,2024,15:36,Gaddi Godam Chowk,Minor,Auto-Rickshaw,Brake Failure,Rainy,0,0,2,Yes,SIMULATED,True
NGP-01417,2025-01-01,2025,12:17,LAD Square,Minor,Car,Brake Failure,Clear,0,0,3,Yes,SIMULATED,True
NGP-01416,2025-01-01,2025,17:18,LAD Square,Minor,Car,Pedestrian Crossing Violation,Clear,1,0,2,Yes,SIMULATED,True
NGP-01418,2025-01-02,2025,13:54,Kachipura Square,Minor,Auto-Rickshaw,Overspeeding,Overcast,1,0,3,No,SIMULATED,True
NGP-01419,2025-01-02,2025,17:22,Shraddhanand Peth Square,Minor,Pedestrian-involved,Lane Violation,Clear,0,0,1,Yes,SIMULATED,True
NGP-01420,2025-01-02,2025,22:40,Variety Square,Minor,Car,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-01421,2025-01-03,2025,07:00,Golibar Chowk,Minor,Auto-Rickshaw,Signal Jumping,Clear,1,0,2,Yes,SIMULATED,True
NGP-01422,2025-01-03,2025,11:39,Manish Nagar-Besa Junction,Moderate,Motorcycle,Lane Violation,Clear,2,0,4,Yes,SIMULATED,True
NGP-01423,2025-01-08,2025,15:27,Jhansi Rani Square,Moderate,Motorcycle,Lane Violation,Clear,3,0,4,Yes,SIMULATED,True
NGP-01424,2025-01-09,2025,04:10,Itwari,Minor,Car,Distracted Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01426,2025-01-09,2025,08:19,Pardi Chowk,Moderate,Car,Poor Visibility (Fog/Rain),Clear,2,0,3,Yes,SIMULATED,True
NGP-01425,2025-01-09,2025,19:41,Kachipura Square,Moderate,Car,Wrong-side Driving,Clear,3,0,1,Yes,SIMULATED,True
NGP-01427,2025-01-10,2025,09:37,Alankar Square,Minor,Bus,Lane Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-01428,2025-01-11,2025,05:46,Bardi Chowk,Minor,Pedestrian-involved,Distracted Driving,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-01430,2025-01-11,2025,14:41,Jhansi Rani Square,Minor,Motorcycle,Lane Violation,Clear,0,0,2,Yes,SIMULATED,True
NGP-01429,2025-01-11,2025,15:44,Dighori Chowk,Minor,Motorcycle,Overspeeding,Clear,0,0,2,Yes,SIMULATED,True
NGP-01431,2025-01-13,2025,16:49,Medical Chowk,Minor,Car,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-01432,2025-01-15,2025,08:29,Chhatrapati Square,Moderate,Truck,Distracted Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01433,2025-01-15,2025,14:31,Katol Road Chowk,Minor,Motorcycle,Distracted Driving,Rainy,0,0,1,No,SIMULATED,True
NGP-01434,2025-01-15,2025,21:15,Sakkardara Square,Minor,Motorcycle,Distracted Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01435,2025-01-16,2025,05:49,Airport T-Point,Minor,Bicycle,Wrong-side Driving,Rainy,1,0,1,Yes,SIMULATED,True
NGP-01436,2025-01-16,2025,15:53,Manewada Chowk,Severe,Car,Overspeeding,Overcast,2,0,1,Yes,SIMULATED,True
NGP-01437,2025-01-17,2025,13:07,Kamptee Chowk,Minor,Truck,Brake Failure,Hot/Humid,0,0,3,Yes,SIMULATED,True
NGP-01439,2025-01-17,2025,17:42,Pratap Nagar Chowk,Minor,Motorcycle,Lane Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-01438,2025-01-17,2025,18:24,Pratap Nagar Chowk,Minor,Car,Signal Jumping,Clear,1,0,4,Yes,SIMULATED,True
NGP-01440,2025-01-19,2025,15:03,Airport T-Point,Minor,Auto-Rickshaw,Pedestrian Crossing Violation,Rainy,0,0,3,Yes,SIMULATED,True
NGP-01441,2025-01-19,2025,17:31,Vaishnodevi Chowk,Minor,Auto-Rickshaw,Pothole/Road Defect,Overcast,1,0,4,No,SIMULATED,True
NGP-01442,2025-01-20,2025,02:36,Ajni Chowk,Minor,Motorcycle,Pothole/Road Defect,Overcast,1,0,4,Yes,SIMULATED,True
NGP-01443,2025-01-21,2025,13:23,Shraddhanand Peth Square,Minor,Motorcycle,Signal Jumping,Rainy,0,0,3,No,SIMULATED,True
NGP-01444,2025-01-23,2025,05:42,Kamptee Chowk,Minor,Car,Distracted Driving,Rainy,0,0,1,No,SIMULATED,True
NGP-01445,2025-01-23,2025,08:36,Shraddhanand Peth Square,Minor,Motorcycle,Brake Failure,Rainy,1,0,3,Yes,SIMULATED,True
NGP-01446,2025-01-24,2025,19:06,Kadbi Chowk,Fatal,Car,Pothole/Road Defect,Clear,1,2,4,Yes,SIMULATED,True
NGP-01447,2025-01-25,2025,13:33,Mate Chowk,Minor,Truck,Distracted Driving,Clear,1,0,1,No,SIMULATED,True
NGP-01448,2025-01-26,2025,14:27,Jhansi Rani Square,Minor,Pedestrian-involved,Pedestrian Crossing Violation,Clear,1,0,3,Yes,SIMULATED,True
NGP-01451,2025-01-27,2025,06:50,Variety Square,Minor,Bus,Brake Failure,Clear,0,0,2,Yes,SIMULATED,True
NGP-01450,2025-01-27,2025,12:06,Mental Hospital Chowk,Moderate,Car,Overspeeding,Clear,2,0,4,No,SIMULATED,True
NGP-01449,2025-01-27,2025,23:48,Abhyankar Nagar Square,Minor,Auto-Rickshaw,Drunk Driving,Clear,0,0,2,Yes,SIMULATED,True
NGP-01452,2025-01-28,2025,13:02,LIC Chowk,Minor,Car,Wrong-side Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-01453,2025-01-28,2025,14:26,Mate Chowk,Minor,Car,Poor Visibility (Fog/Rain),Clear,1,0,3,Yes,SIMULATED,True
NGP-01454,2025-01-29,2025,19:07,Sitabuldi Chowk,Minor,Auto-Rickshaw,Overspeeding,Rainy,1,0,4,Yes,SIMULATED,True
NGP-01455,2025-01-31,2025,20:01,Abhyankar Nagar Square,Minor,Auto-Rickshaw,Wrong-side Driving,Clear,1,0,1,Yes,SIMULATED,True
NGP-01456,2025-02-01,2025,19:30,Laxmi Nagar Square,Moderate,Truck,Wrong-side Driving,Clear,2,0,2,Yes,SIMULATED,True
NGP-01457,2025-02-02,2025,10:07,Kasturchand Park Square,Severe,Bicycle,Pothole/Road Defect,Rainy,4,0,2,No,SIMULATED,True
NGP-01459,2025-02-03,2025,08:00,Katol Road Chowk,Minor,Motorcycle,Signal Jumping,Foggy,1,0,4,Yes,SIMULATED,True
NGP-01458,2025-02-03,2025,14:54,Kachipura Square,Fatal,Auto-Rickshaw,Pedestrian Crossing Violation,Overcast,2,2,2,Yes,SIMULATED,True
NGP-01460,2025-02-06,2025,09:25,Lokmat Square,Minor,Car,Signal Jumping,Clear,1,0,3,Yes,SIMULATED,True
NGP-01461,2025-02-09,2025,02:12,Pratap Nagar Chowk,Minor,Motorcycle,Brake Failure,Clear,1,0,3,Yes,SIMULATED,True
NGP-01462,2025-02-10,2025,20:09,Kadbi Chowk,Minor,Car,Distracted Driving,Rainy,1,0,2,Yes,SIMULATED,True
NGP-01463,2025-02-11,2025,17:29,Lokmat Square,Minor,Car,Brake Failure,Clear,1,0,3,Yes,SIMULATED,True
NGP-01464,2025-02-12,2025,12:43,Cotton Market Chowk,Moderate,Motorcycle,Brake Failure,Clear,3,0,1,Yes,SIMULATED,True
NGP-01465,2025-02-12,2025,17:07,Hingna Chowk,Minor,Car,Brake Failure,Clear,1,0,4,Yes,SIMULATED,True
NGP-01467,2025-02-13,2025,15:08,Sakkardara Square,Minor,Car,Brake Failure,Rainy,0,0,3,Yes,SIMULATED,True
NGP-01466,2025-02-13,2025,22:37,Abhyankar Nagar Square,Minor,Motorcycle,Pothole/Road Defect,Clear,1,0,1,Yes,SIMULATED,True
NGP-01468,2025-02-14,2025,01:09,Indora Chowk,Moderate,Truck,Brake Failure,Clear,2,0,4,Yes,SIMULATED,True
NGP-01469,2025-02-14,2025,15:57,RBI Chowk,Minor,Bus,Pothole/Road Defect,Clear,0,0,2,No,SIMULATED,True
NGP-01471,2025-02-15,2025,12:14,Shankar Nagar Square,Minor,Bus,Pothole/Road Defect,Overcast,1,0,4,Yes,SIMULATED,True
NGP-01470,2025-02-15,2025,13:16,Jhansi Rani Square,Minor,Motorcycle,Drunk Driving,Rainy,1,0,2,Yes,SIMULATED,True
NGP-01472,2025-02-16,2025,14:39,Kadbi Chowk,Minor,Truck,Poor Visibility (Fog/Rain),Clear,1,0,2,No,SIMULATED,True
NGP-01473,2025-02-18,2025,04:21,Manish Nagar-Besa Junction,Minor,Bus,Overspeeding,Foggy,0,0,2,Yes,SIMULATED,True
NGP-01475,2025-02-19,2025,07:00,Mate Chowk,Minor,Motorcycle,Wrong-side Driving,Hot/Humid,1,0,2,Yes,SIMULATED,True
NGP-01474,2025-02-19,2025,18:13,Kamptee Chowk,Minor,Pedestrian-involved,Pedestrian Crossing Violation,Foggy,0,0,2,Yes,SIMULATED,True
NGP-01476,2025-02-21,2025,08:19,Kasturchand Park Square,Minor,Motorcycle,Brake Failure,Clear,1,0,2,Yes,SIMULATED,True
NGP-01478,2025-02-26,2025,07:36,Shraddhanand Peth Square,Minor,Motorcycle,Poor Visibility (Fog/Rain),Rainy,0,0,3,Yes,SIMULATED,True
NGP-01477,2025-02-26,2025,17:31,Hingna Chowk,Moderate,Auto-Rickshaw,Wrong-side Driving,Rainy,3,0,3,Yes,SIMULATED,True
NGP-01479,2025-02-27,2025,20:09,RBI Chowk,Minor,Motorcycle,Brake Failure,Hot/Humid,0,0,2,Yes,SIMULATED,True
NGP-01480,2025-02-28,2025,07:34,Ajni Chowk,Fatal,Truck,Overspeeding,Overcast,3,1,3,Yes,SIMULATED,True
NGP-01481,2025-02-28,2025,13:50,Kadbi Chowk,Minor,Car,Wrong-side Driving,Foggy,1,0,2,Yes,SIMULATED,True
NGP-01484,2025-03-03,2025,06:25,Manewada Chowk,Minor,Motorcycle,Pothole/Road Defect,Clear,0,0,1,Yes,SIMULATED,True
NGP-01482,2025-03-03,2025,09:11,Ajit Bakery Square,Moderate,Truck,Lane Violation,Rainy,3,0,1,No,SIMULATED,True
NGP-01483,2025-03-03,2025,20:16,Kasturchand Park Square,Minor,Auto-Rickshaw,Brake Failure,Clear,0,0,3,Yes,SIMULATED,True
NGP-01486,2025-03-05,2025,15:13,LIC Chowk,Minor,Auto-Rickshaw,Signal Jumping,Overcast,1,0,3,Yes,SIMULATED,True
NGP-01485,2025-03-05,2025,20:59,Kachipura Square,Minor,Car,Poor Visibility (Fog/Rain),Clear,1,0,2,Yes,SIMULATED,True
NGP-01488,2025-03-07,2025,18:03,Itwari,Minor,Car,Pedestrian Crossing Violation,Hot/Humid,0,0,3,Yes,SIMULATED,True
NGP-01487,2025-03-07,2025,21:51,Ajni Chowk,Moderate,Car,Poor Visibility (Fog/Rain),Clear,2,0,1,Yes,SIMULATED,True
NGP-01489,2025-03-08,2025,01:10,Kasturchand Park Square,Severe,Car,Drunk Driving,Clear,3,0,4,Yes,SIMULATED,True
NGP-01490,2025-03-09,2025,02:26,Bardi Chowk,Moderate,Car,Pothole/Road Defect,Clear,2,0,3,Yes,SIMULATED,True
NGP-01491,2025-03-11,2025,17:07,Indora Chowk,Minor,Pedestrian-involved,Drunk Driving,Clear,0,0,1,No,SIMULATED,True
NGP-01492,2025-03-11,2025,19:29,Itwari,Minor,Car,Brake Failure,Rainy,0,0,4,Yes,SIMULATED,True
NGP-01494,2025-03-13,2025,06:17,Kachipura Square,Moderate,Car,Lane Violation,Clear,3,0,4,Yes,SIMULATED,True
NGP-01493,2025-03-13,2025,08:01,Cotton Market Chowk,Minor,Auto-Rickshaw,Distracted Driving,Rainy,0,0,4,Yes,SIMULATED,True
NGP-01495,2025-03-13,2025,16:05,Katol Road Chowk,Moderate,Truck,Pedestrian Crossing Violation,Clear,3,0,2,Yes,SIMULATED,True
NGP-01496,2025-03-13,2025,18:33,Pardi Chowk,Moderate,Auto-Rickshaw,Pedestrian Crossing Violation,Clear,2,0,3,No,SIMULATED,True
NGP-01497,2025-03-15,2025,09:26,Shraddhanand Peth Square,Moderate,Motorcycle,Pedestrian Crossing Violation,Hot/Humid,1,0,1,Yes,SIMULATED,True
NGP-01498,2025-03-16,2025,08:37,Kamptee Chowk,Moderate,Truck,Distracted Driving,Overcast,3,0,3,Yes,SIMULATED,True
NGP-01500,2025-03-17,2025,10:07,Manewada Chowk,Moderate,Motorcycle,Signal Jumping,Clear,2,0,3,No,SIMULATED,True
NGP-01499,2025-03-17,2025,13:05,Laxmi Nagar Square,Minor,Car,Pothole/Road Defect,Overcast,1,0,1,Yes,SIMULATED,True
NGP-01501,2025-03-18,2025,13:10,Jhansi Rani Square,Moderate,Pedestrian-involved,Poor Visibility (Fog/Rain),Clear,1,0,1,Yes,SIMULATED,True
NGP-01502,2025-03-19,2025,06:08,Airport T-Point,Minor,Bus,Drunk Driving,Clear,1,0,4,Yes,SIMULATED,True
NGP-01504,2025-03-20,2025,11:39,Pratap Nagar Chowk,Severe,Bicycle,Pedestrian Crossing Violation,Foggy,4,0,1,Yes,SIMULATED,True
NGP-01503,2025-03-20,2025,19:43,Abhyankar Nagar Square,Minor,Truck,Pothole/Road Defect,Clear,1,0,2,Yes,SIMULATED,True
NGP-01505,2025-03-21,2025,21:50,Pardi Chowk,Severe,Motorcycle,Drunk Driving,Foggy,3,0,1,Yes,SIMULATED,True
NGP-01506,2025-03-22,2025,02:45,Airport T-Point,Moderate,Auto-Rickshaw,Distracted Driving,Clear,3,0,4,Yes,SIMULATED,True
NGP-01507,2025-03-22,2025,06:38,Shraddhanand Peth Square,Minor,Pedestrian-involved,Signal Jumping,Overcast,1,0,4,Yes,SIMULATED,True
NGP-01508,2025-03-24,2025,19:02,Medical Chowk,Minor,Motorcycle,Signal Jumping,Clear,0,0,3,Yes,SIMULATED,True
NGP-01509,2025-03-25,2025,19:08,Laxmi Nagar Square,Minor,Auto-Rickshaw,Lane Violation,Clear,0,0,4,Yes,SIMULATED,True
NGP-01510,2025-03-26,2025,07:48,LIC Chowk,Severe,Motorcycle,Brake Failure,Clear,4,0,2,Yes,SIMULATED,True
NGP-01511,2025-03-27,2025,21:27,Ajni Chowk,Severe,Motorcycle,Poor Visibility (Fog/Rain),Foggy,4,0,2,Yes,SIMULATED,True
NGP-01512,2025-03-28,2025,19:12,Manewada Chowk,Minor,Auto-Rickshaw,Poor Visibility (Fog/Rain),Clear,0,0,3,Yes,SIMULATED,True
NGP-01513,2025-03-29,2025,10:56,Itwari,Severe,Car,Drunk Driving,Clear,4,0,3,Yes,SIMULATED,True
NGP-01514,2025-03-29,2025,12:30,Medical Chowk,Minor,Auto-Rickshaw,Drunk Driving,Clear,1,0,3,Yes,SIMULATED,True
NGP-01515,2025-03-30,2025,12:01,Pardi Chowk,Moderate,Motorcycle,Distracted Driving,Rainy,3,0,1,Yes,SIMULATED,True
NGP-01516,2025-03-31,2025,07:28,Dighori Chowk,Minor,Truck,Distracted Driving,Overcast,0,0,4,Yes,SIMULATED,True
NGP-01517,2025-04-02,2025,17:05,Lokmat Square,Moderate,Truck,Pothole/Road Defect,Clear,1,0,1,Yes,SIMULATED,True
NGP-01518,2025-04-03,2025,17:52,LIC Chowk,Minor,Motorcycle,Lane Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-01519,2025-04-04,2025,16:53,Jhansi Rani Square,Moderate,Truck,Pothole/Road Defect,Overcast,2,0,2,Yes,SIMULATED,True
NGP-01521,2025-04-05,2025,13:45,Medical Chowk,Moderate,Bicycle,Lane Violation,Clear,1,0,1,Yes,SIMULATED,True
NGP-01520,2025-04-05,2025,15:01,Kamptee Chowk,Moderate,Auto-Rickshaw,Poor Visibility (Fog/Rain),Rainy,3,0,1,No,SIMULATED,True
NGP-01522,2025-04-08,2025,10:47,Jhansi Rani Square,Moderate,Car,Distracted Driving,Clear,2,0,4,Yes,SIMULATED,True
NGP-01523,2025-04-11,2025,07:55,Kachipura Square,Severe,Car,Signal Jumping,Foggy,5,0,3,Yes,SIMULATED,True
NGP-01524,2025-04-12,2025,12:02,Automotive Square,Minor,Pedestrian-involved,Signal Jumping,Clear,1,0,3,Yes,SIMULATED,True
NGP-01525,2025-04-13,2025,15:14,Manewada Chowk,Minor,Car,Signal Jumping,Clear,1,0,4,Yes,SIMULATED,True
NGP-01526,2025-04-14,2025,06:08,Chhatrapati Square,Severe,Truck,Distracted Driving,Hot/Humid,3,0,1,Yes,SIMULATED,True
NGP-01527,2025-04-17,2025,17:49,Gaddi Godam Chowk,Moderate,Car,Pothole/Road Defect,Foggy,1,0,4,Yes,SIMULATED,True
NGP-01528,2025-04-17,2025,17:55,Katol Road Chowk,Severe,Truck,Brake Failure,Clear,4,0,3,No,SIMULATED,True
NGP-01530,2025-04-18,2025,07:22,Kasturchand Park Square,Severe,Motorcycle,Overspeeding,Foggy,2,0,3,No,SIMULATED,True
NGP-01529,2025-04-18,2025,17:40,Kachipura Square,Minor,Motorcycle,Poor Visibility (Fog/Rain),Rainy,1,0,3,Yes,SIMULATED,True
NGP-01531,2025-04-19,2025,09:20,Lokmat Square,Moderate,Motorcycle,Distracted Driving,Overcast,1,0,1,Yes,SIMULATED,True
NGP-01532,2025-04-20,2025,18:35,Automotive Square,Minor,Motorcycle,Lane Violation,Clear,0,0,3,Yes,SIMULATED,True
NGP-01533,2025-04-21,2025,07:53,Itwari,Moderate,Auto-Rickshaw,Brake Failure,Clear,3,0,4,Yes,SIMULATED,True
NGP-01535,2025-04-24,2025,07:44,Pardi Chowk,Moderate,Car,Wrong-side Driving,Overcast,1,0,2,Yes,SIMULATED,True
NGP-01534,2025-04-24,2025,16:23,Kachipura Square,Minor,Motorcycle,Brake Failure,Clear,0,0,1,No,SIMULATED,True
NGP-01537,2025-04-25,2025,06:09,Katol Road Chowk,Minor,Car,Overspeeding,Clear,0,0,3,Yes,SIMULATED,True
NGP-01536,2025-04-25,2025,14:58,Kachipura Square,Minor,Pedestrian-involved,Distracted Driving,Clear,0,0,4,Yes,SIMULATED,True
NGP-01538,2025-04-26,2025,01:06,Chhatrapati Square,Severe,Motorcycle,Pedestrian Crossing Violation,Clear,2,0,3,Yes,SIMULATED,True
NGP-01539,2025-04-26,2025,12:57,Sitabuldi Chowk,Minor,Motorcycle,Poor Visibility (Fog/Rain),Clear,1,0,3,Yes,SIMULATED,True
NGP-01540,2025-04-29,2025,09:01,Vaishnodevi Chowk,Minor,Motorcycle,Lane Violation,Rainy,0,0,4,Yes,SIMULATED,True
NGP-01541,2025-05-01,2025,08:47,Chhatrapati Square,Severe,Auto-Rickshaw,Pedestrian Crossing Violation,Clear,2,0,1,No,SIMULATED,True
NGP-01542,2025-05-01,2025,19:09,Dighori Chowk,Severe,Motorcycle,Drunk Driving,Clear,5,0,1,Yes,SIMULATED,True
